Fday	ID	Rday	Wdays	MDUR	Tdays
274	573	25	227	22	22
247	569	20	197	20	30
243	565	16	199	18	28
228	560	14	190	16	24
219	550	10	178	21	31
209	555	12	177	14	20
207	545	9	171	19	27
196	540	8	163	17	25
189	525	5	148	24	36
188	535	7	160	15	21
180	530	6	156	12	18
171	520	4	135	22	32
164	574	25	110	19	29
159	570	20	111	18	28
150	566	16	110	16	24
136	561	14	100	14	22
132	551	10	93	19	29
128	556	12	96	12	20
123	546	9	87	17	27
116	523	5	70	41	41
112	575	30	26	50	56
111	541	8	82	13	21
105	571	25	29	45	51
105	536	7	75	15	23
103	567	18	35	32	50
97	563	16	37	28	44
96	515	3	63	20	30
90	562	16	33	27	41
87	572	25	45	15	17
83	568	20	47	14	16
83	564	16	50	13	17
79	549	10	52	15	17
79	531	6	54	11	19
78	548	10	28	34	40
73	558	14	32	23	27
72	554	12	51	9	9
72	539	8	52	12	12
71	557	14	31	22	26
71	547	10	22	33	39
69	534	7	52	10	10
69	522	5	24	40	40
67	553	12	31	20	24
66	524	5	51	8	10
64	543	9	22	29	33
62	542	9	21	28	32
60	552	12	27	19	21
58	533	7	17	22	34
57	526	5	22	20	30
57	532	7	17	21	33
56	538	8	19	25	29
53	537	8	17	24	28
53	528	6	16	19	31
50	511	3	17	30	30
50	521	4	18	18	28
46	518	4	0	36	42
46	516	3	19	16	24
45	517	4	0	35	41
43	527	6	15	18	22
39	509	2	19	18	18
39	513	3	0	32	36
38	512	3	0	31	35
32	507	2	0	26	30
31	506	2	0	25	29
27	502	1	0	22	26
25	501	1	0	20	24
24	519	4	0	14	20
24	510	2	0	14	22
24	504	1	0	15	23
19	505	1	0	12	18
13	508	2	0	11	11

Missions: 75 [N: 10, P: 30, D: 15, C: 15] [70 DONE, 5 Aborted]

Rovers: 24 [N: 4, P: 12, D: 4, RR: 4]
Avg Wdays = 59.2286, Avg MDUR = 21.2143, Avg Tdays = 27.4714
% Avg_Wdays/ Avg_MDUR = 279.192%, Auto-Aborted Missions = 0%
