Fday	ID	Rday	Wdays	MDUR	Tdays
235	573	25	176	22	34
226	569	20	176	20	30
221	565	16	177	18	28
204	560	14	166	16	24
193	550	10	152	21	31
188	555	12	156	14	20
185	545	9	149	19	27
180	540	8	147	17	25
168	535	7	140	15	21
162	525	5	121	24	36
158	530	6	134	12	18
152	574	25	98	19	29
144	570	20	96	18	28
137	566	16	97	16	24
125	571	25	35	45	65
123	561	14	87	14	22
120	556	12	88	12	20
118	575	30	32	50	56
116	520	4	80	22	32
110	551	10	71	19	29
101	515	3	68	20	30
99	563	16	39	28	44
98	567	18	42	32	38
97	546	9	61	17	27
96	562	16	39	27	41
92	572	25	50	15	17
91	568	20	55	14	16
89	549	10	62	15	17
87	564	16	58	13	13
87	539	8	63	12	16
85	548	10	35	34	40
82	554	12	61	9	9
82	558	14	41	23	27
81	541	8	52	13	21
78	547	10	29	33	39
78	536	7	48	15	23
77	557	14	37	22	26
75	553	12	39	20	24
74	534	7	57	10	10
72	524	5	59	8	8
71	543	9	29	29	33
69	542	9	28	28	32
68	531	6	43	11	19
67	552	12	34	19	21
62	533	7	21	22	34
61	538	8	24	25	29
61	523	5	9	41	47
59	537	8	23	24	28
57	526	5	22	20	30
52	532	7	20	21	25
52	521	4	20	18	28
52	527	6	16	18	30
51	522	5	0	40	46
48	528	6	19	19	23
46	518	4	0	36	42
46	516	3	19	16	24
45	517	4	0	35	41
39	513	3	0	32	36
38	512	3	0	31	35
37	511	3	0	30	34
32	507	2	0	26	30
31	506	2	0	25	29
28	509	2	0	18	26
27	502	1	0	22	26
25	501	1	0	20	24
24	519	4	0	14	20
24	510	2	0	14	22
24	504	1	0	15	23
19	505	1	0	12	18
13	508	2	0	11	11

Missions: 75 [N: 20, P: 25, D: 25, C: 0] [70 DONE, 5 Aborted]

Rovers: 24 [N: 4, P: 12, D: 4, RR: 4]
Avg Wdays = 52.8571, Avg MDUR = 21.2143, Avg Tdays = 27.8714
% Avg_Wdays/ Avg_MDUR = 249.158%, Auto-Aborted Missions = 0%
